catcode,cmte_id,catorder,catname,industry,sector,newsletter,source,confidence,reasoning,model
,C00841619,,SAM EPPLER FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00841643,,ALTMAN FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00841767,,QUACY SMITH FOR THE UNITED STATES CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00841874,,CHUCK HUBBARD FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00842039,,MIKE PENCE FOR PRESIDENT,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a presidential campaign.,gpt-4.1
,C00842088,,BECKY EDWARDS FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00842187,,KAREN CRNKOVICH FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00842211,,FRED VON CANON FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,The name is a candidate committee for a House campaign.,gpt-4.1
,C00842229,,DANIEL MCDOW FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Daniel McDow, which is not industry-based.",gpt-4.1
,C00842237,,"CHRIS CHRISTIE FOR PRESIDENT, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The name is a presidential candidate committee for Chris Christie, not industry-based.",gpt-4.1
,C00842302,,"DOUG BURGUM FOR AMERICA, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The name is a presidential candidate committee for Doug Burgum, not industry-based.",gpt-4.1
,C00842310,,LEONARD FOR CONGRESS COMMITTEE,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Leonard, not industry-based.",gpt-4.1
,C00842336,,BELLFORMISSOURI,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Bell, not industry-based.",gpt-4.1
,C00842476,,FRIENDS OF GREG HUGHES,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Greg Hughes, not industry-based.",gpt-4.1
,C00842500,,LYNN PETERSON FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Lynn Peterson, not industry-based.",gpt-4.1
,C00842617,,BUKOVINAC FOR PRESIDENT,Candidate Committees,Candidate,,llm_inferred,high,"The name is a presidential candidate committee for Bukovinac, not industry-based.",gpt-4.1
,C00842682,,CHUCK HAND FOR GEORGIA,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Chuck Hand, not industry-based.",gpt-4.1
,C00842708,,PIANTIDOSI FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Piantidosi, not industry-based.",gpt-4.1
,C00842757,,THOMAS COLE FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Thomas Cole, not industry-based.",gpt-4.1
,C00842765,,CELESTE FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Celeste, not industry-based.",gpt-4.1
,C00842948,,LUTZ FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Lutz, not industry-based.",gpt-4.1
,C00842955,,RIEBE FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Riebe, not industry-based.",gpt-4.1
,C00842971,,"SUAREZ FOR PRESIDENT, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The name is a presidential candidate committee for Suarez, not industry-based.",gpt-4.1
,C00842997,,COMMITTEE TO ELECT LEE BAUSINGER,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Lee Bausinger, not industry-based.",gpt-4.1
,C00843003,,JULIE JOHNSON FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Julie Johnson, not industry-based.",gpt-4.1
,C00843029,,COURAGEOUS LEADERS,Misc Issues,Ideology/Single-Issue,,llm_inferred,low,The name 'Courageous Leaders' is generic and does not indicate an industry.,gpt-4.1
,C00843078,,PETER SONSKI FOR PRESIDENT,Candidate Committees,Candidate,,llm_inferred,high,"The name is a presidential candidate committee for Peter Sonski, not industry-based.",gpt-4.1
,C00843227,,AMANDA EDWARDS FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Amanda Edwards, not industry-based.",gpt-4.1
,C00843367,,SID FOR CONGRESSS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Sid, not industry-based.",gpt-4.1
,C00843383,,GULREZ GUS KHAN FOR U.S. CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Gulrez Gus Khan, not industry-based.",gpt-4.1
,C00843391,,LISA BLUNT ROCHESTER FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The name is a Senate candidate committee for Lisa Blunt Rochester, not industry-based.",gpt-4.1
,C00843425,,JANELLE BYNUM FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Janelle Bynum, not industry-based.",gpt-4.1
,C00843441,,JOE SALERNO FOR CONGRESS INC.,Candidate Committees,Candidate,,llm_inferred,high,"The name is a candidate committee for Joe Salerno, not industry-based.",gpt-4.1
,C00843540,,"HURD FOR AMERICA, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee (HURD FOR AMERICA, INC.), which is not industry-based.",gpt-4.1
,C00843722,,INAM FOR US SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (INAM FOR US SENATE) is a candidate committee, not industry-based.",gpt-4.1
,C00843763,,MCBRIDE FOR DELAWARE INC.,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (MCBRIDE FOR DELAWARE INC.) is a candidate committee, not industry-based.",gpt-4.1
,C00843771,,EDDIE SPEIR FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (EDDIE SPEIR FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844159,,TIM SHEEHY FOR MONTANA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (TIM SHEEHY FOR MONTANA) is a candidate committee, not industry-based.",gpt-4.1
,C00844183,,JOHN RUST FOR US SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (JOHN RUST FOR US SENATE) is a candidate committee, not industry-based.",gpt-4.1
,C00844191,,FRIENDS OF KOURI MARSHALL,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (FRIENDS OF KOURI MARSHALL) is a candidate committee, not industry-based.",gpt-4.1
,C00844225,,DAVID KIM FOR CONGRESS - CA34,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (DAVID KIM FOR CONGRESS - CA34) is a candidate committee, not industry-based.",gpt-4.1
,C00844258,,"FRIENDS OF MARIA MONTERO, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The committee name (FRIENDS OF MARIA MONTERO, INC.) is a candidate committee, not industry-based.",gpt-4.1
,C00844308,,CONFORTI FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (CONFORTI FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844324,,BRANDON HERRERA FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (BRANDON HERRERA FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844340,,LUNA4US,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (LUNA4US) is a candidate committee, not industry-based.",gpt-4.1
,C00844365,,LATIMER FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (LATIMER FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844449,,BAILEY FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (BAILEY FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844480,,HERTEL FOR MICHIGAN,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (HERTEL FOR MICHIGAN) is a candidate committee, not industry-based.",gpt-4.1
,C00844522,,QASIM FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (QASIM FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844589,,PEOPLE WITH DAVID SERPA FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (PEOPLE WITH DAVID SERPA FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844688,,GARCIA FOR WA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (GARCIA FOR WA) is a candidate committee, not industry-based.",gpt-4.1
,C00844779,,KENNETH OMORUYI FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (KENNETH OMORUYI FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00844878,,COMMUNITY FOR KINA COLLINS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (COMMUNITY FOR KINA COLLINS) is a candidate committee, not industry-based.",gpt-4.1
,C00844977,,ROLAND GUTIERREZ FOR TEXAS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (ROLAND GUTIERREZ FOR TEXAS) is a candidate committee, not industry-based.",gpt-4.1
,C00844985,,HILL HARPER FOR MICHIGAN,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (HILL HARPER FOR MICHIGAN) is a candidate committee, not industry-based.",gpt-4.1
,C00844993,,COOKE FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (COOKE FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00845008,,MONICA TRANEL FOR MONTANA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (MONICA TRANEL FOR MONTANA) is a candidate committee, not industry-based.",gpt-4.1
,C00845016,,MICHAEL KOSLOW FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name (MICHAEL KOSLOW FOR CONGRESS) is a candidate committee, not industry-based.",gpt-4.1
,C00845024,,JAMIE FOR OREGON,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""JAMIE FOR OREGON"") with designation P.",gpt-4.1
,C00845032,,SAM BROWN FOR NEVADA,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""SAM BROWN FOR NEVADA"") with designation P.",gpt-4.1
,C00845040,,RIEHLE FOR CONGRESS 2024,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""RIEHLE FOR CONGRESS 2024"") with designation P.",gpt-4.1
,C00845164,,TEKESHA MARTINEZ FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""TEKESHA MARTINEZ FOR CONGRESS"") with designation P.",gpt-4.1
,C00845180,,SUSAN RUBIO FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""SUSAN RUBIO FOR CONGRESS"") with designation P.",gpt-4.1
,C00845339,,COLORADANS FOR SCOTT JAMES,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""COLORADANS FOR SCOTT JAMES"") with designation P.",gpt-4.1
,C00845347,,REDDY FOR KANSAS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""REDDY FOR KANSAS"") with designation P.",gpt-4.1
,C00845354,,SHETH FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""SHETH FOR CONGRESS"") with designation P.",gpt-4.1
,C00845461,,MANNION FOR NEW YORK,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""MANNION FOR NEW YORK"") with designation P.",gpt-4.1
,C00845487,,SEAN DOUGHERTY FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""SEAN DOUGHERTY FOR CONGRESS"") with designation P.",gpt-4.1
,C00845594,,MIKE MURPHY FOR CONGRESS 2024,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""MIKE MURPHY FOR CONGRESS 2024"") with designation P.",gpt-4.1
,C00845735,,LAROSE FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""LAROSE FOR SENATE"") with designation P.",gpt-4.1
,C00845743,,TOM ROYALS FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""TOM ROYALS FOR CONGRESS"") with designation P.",gpt-4.1
,C00845750,,PHIL EHR FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""PHIL EHR FOR CONGRESS"") with designation P.",gpt-4.1
,C00845826,,KEVIN LINCOLN FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""KEVIN LINCOLN FOR CONGRESS"") with designation P.",gpt-4.1
,C00845933,,JESSICA FOR MICHIGAN,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""JESSICA FOR MICHIGAN"") with designation P.",gpt-4.1
,C00845966,,DAVIS FOR DELAWARE,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""DAVIS FOR DELAWARE"") with designation P.",gpt-4.1
,C00846014,,PATRICIA FOR RI,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""PATRICIA FOR RI"") with designation P.",gpt-4.1
,C00846048,,MARQUITA BRADSHAW FOR U S SENATE,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""MARQUITA BRADSHAW FOR U S SENATE"") with designation P.",gpt-4.1
,C00846063,,SANTOS LIMON FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""SANTOS LIMON FOR CONGRESS"") with designation P.",gpt-4.1
,C00846089,,DR. KUMAR FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""DR. KUMAR FOR CONGRESS"") with designation P.",gpt-4.1
,C00846154,,LEVINSON FOR NC,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""LEVINSON FOR NC"") with designation P.",gpt-4.1
,C00846162,,NINETY3 PAC,Unknown,Unknown,,llm_inferred,low,"Name (""NINETY3 PAC"") is generic and does not indicate any industry or sector.",gpt-4.1
,C00846212,,FRIENDS OF EUGENE YOUNG,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""FRIENDS OF EUGENE YOUNG"") with designation P.",gpt-4.1
,C00846279,,JOHN QUINONES FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"Name is a candidate committee (""JOHN QUINONES FOR CONGRESS"") with designation P.",gpt-4.1
,C00846378,,MATT SHOEMAKER FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'MATT SHOEMAKER FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846402,,PERIDOT OPERATIONS INC- ULOMA EKPETE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'PERIDOT OPERATIONS INC- ULOMA EKPETE', but the format and designation indicate a candidate committee.",gpt-4.1
,C00846436,,BANWEG FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'BANWEG FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846451,,SAPRAICONE FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'SAPRAICONE FOR SENATE', indicating a candidate committee.",gpt-4.1
,C00846501,,MACKENZIE FOR CONGRESS COMMITTEE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'MACKENZIE FOR CONGRESS COMMITTEE', indicating a candidate committee.",gpt-4.1
,C00846550,,HACH FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'HACH FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846568,,ANNA STOUT FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'ANNA STOUT FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846584,,THE COMMITTEE TO ELECT JOSHUA SMITH,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'THE COMMITTEE TO ELECT JOSHUA SMITH', indicating a candidate committee.",gpt-4.1
,C00846600,,BRAME FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'BRAME FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846618,,MELISSA HURTADO FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'MELISSA HURTADO FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846642,,PRESCOTT FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'PRESCOTT FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846709,,HIRSH SINGH FOR PRESIDENT,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'HIRSH SINGH FOR PRESIDENT', indicating a candidate committee.",gpt-4.1
,C00846840,,"RAJA CHAUDHRY CAMPAIGN, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'RAJA CHAUDHRY CAMPAIGN, INC.', indicating a candidate committee.",gpt-4.1
,C00846857,,OKLAHOMA FOR BRANDON,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'OKLAHOMA FOR BRANDON', indicating a candidate committee.",gpt-4.1
,C00846873,,JOHN MCBRIDE FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'JOHN MCBRIDE FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00846915,,KARLA MAY FOR U.S. SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'KARLA MAY FOR U.S. SENATE', indicating a candidate committee.",gpt-4.1
,C00846931,,"NORBER FOR CONGRESS, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'NORBER FOR CONGRESS, INC.', indicating a candidate committee.",gpt-4.1
,C00846998,,SMITH FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'SMITH FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00847020,,CONOR FOR AZ,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'CONOR FOR AZ', indicating a candidate committee.",gpt-4.1
,C00847079,,GREG MERK FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'GREG MERK FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00847129,,MERI GOMEZ FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'MERI GOMEZ FOR SENATE', indicating a candidate committee.",gpt-4.1
,C00847137,,GAY VALIMONT FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'GAY VALIMONT FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00847277,,ELECT JASON CALL FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'ELECT JASON CALL FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00847400,,GLORIA FOR TENNESSEE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'GLORIA FOR TENNESSEE', indicating a candidate committee.",gpt-4.1
,C00847418,,DR JEFF GUNTER FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'DR JEFF GUNTER FOR SENATE', indicating a candidate committee.",gpt-4.1
,C00847467,,JIM GAUGHRAN FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Jim Gaughran, matching the standard candidate committee format.",gpt-4.1
,C00847483,,SHAWN FOR GEORGIA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Shawn, matching the standard candidate committee format.",gpt-4.1
,C00847517,,TAYLOR MADE FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Taylor, matching the standard candidate committee format.",gpt-4.1
,C00847525,,BOLES FOR OREGON,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Boles, matching the standard candidate committee format.",gpt-4.1
,C00847582,,GRADY FOR NEVADA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Grady, matching the standard candidate committee format.",gpt-4.1
,C00847590,,ANNA CHENG KRAMER FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Anna Cheng Kramer, matching the standard candidate committee format.",gpt-4.1
,C00847608,,TIM KRAMER FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Tim Kramer, matching the standard candidate committee format.",gpt-4.1
,C00847616,,ROBERT A -ROCKY- ROCHFORD FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Robert A Rochford, matching the standard candidate committee format.",gpt-4.1
,C00847657,,DR. SHERRY FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Dr. Sherry, matching the standard candidate committee format.",gpt-4.1
,C00847665,,RUZON FOR SENATE 2024,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Ruzon, matching the standard candidate committee format.",gpt-4.1
,C00847699,,DAVID PAN FOR CONGRESS 2024,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for David Pan, matching the standard candidate committee format.",gpt-4.1
,C00847715,,BLAZAKIS FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Blazakis, matching the standard candidate committee format.",gpt-4.1
,C00847806,,MARK HOUCK FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Mark Houck, matching the standard candidate committee format.",gpt-4.1
,C00847905,,FRIENDS OF LORENZO SANTOS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Lorenzo Santos, matching the standard candidate committee format.",gpt-4.1
,C00847939,,MORCKELFORCONGRESS USA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Morckel, matching the standard candidate committee format.",gpt-4.1
,C00848010,,GEOFFREY GRAMMER FOR U.S. CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Geoffrey Grammer, matching the standard candidate committee format.",gpt-4.1
,C00848028,,"HAMILTON FOR CONGRESS, INC.",Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Hamilton, matching the standard candidate committee format.",gpt-4.1
,C00848119,,ELSIE ARNTZEN FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Elsie Arntzen, matching the standard candidate committee format.",gpt-4.1
,C00848150,,MERCURI FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Mercuri, matching the standard candidate committee format.",gpt-4.1
,C00848168,,MARGARITA WILKINSON FOR CONGRESS 2024,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Margarita Wilkinson, matching the standard candidate committee format.",gpt-4.1
,C00848176,,JON MYERS FOR VIRGINIA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Jon Myers, matching the standard candidate committee format.",gpt-4.1
,C00848226,,KATE FOR CONGRESS INC.,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Kate, matching the standard candidate committee format.",gpt-4.1
,C00848234,,BRIAN FRYDENBORG FOR US SENATE FOR MARYLAND,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Brian Frydenborg, matching the standard candidate committee format.",gpt-4.1
,C00848242,,ANDERSON FOR CONGRESS 2024,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Anderson, matching the standard candidate committee format.",gpt-4.1
,C00848309,,JERICA FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is a candidate committee for Jerica, matching the standard candidate committee format.",gpt-4.1
,C00848333,,JEFF HURD FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'JEFF HURD FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00848408,,KENNY XU FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'KENNY XU FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00848606,,HEIDI KASAMA FOR NEVADA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'HEIDI KASAMA FOR NEVADA', indicating a candidate committee.",gpt-4.1
,C00848648,,DEBBIE FOR FLORIDA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'DEBBIE FOR FLORIDA', indicating a candidate committee.",gpt-4.1
,C00849018,,CARRIS FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'CARRIS FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849174,,PAUL HUDSON FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'PAUL HUDSON FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849182,,RAPOPORT FOR CONGRESS COMMITTEE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'RAPOPORT FOR CONGRESS COMMITTEE', indicating a candidate committee.",gpt-4.1
,C00849315,,BRUCE LOU FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'BRUCE LOU FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849331,,CURTIS FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'CURTIS FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849349,,JARED YOUNG FOR MISSOURI,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'JARED YOUNG FOR MISSOURI', indicating a candidate committee.",gpt-4.1
,C00849422,,ERIN PARE FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'ERIN PARE FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849463,,JIM TOES FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'JIM TOES FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849612,,CHRISTOPHER MITCHELL CONGRESSIONAL ELECTION COMMITTEE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'CHRISTOPHER MITCHELL CONGRESSIONAL ELECTION COMMITTEE', indicating a candidate committee.",gpt-4.1
,C00849745,,ISAIAH MARTIN FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'ISAIAH MARTIN FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849794,,CONROY FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'CONROY FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849802,,JEFF FOR GA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'JEFF FOR GA', indicating a candidate committee.",gpt-4.1
,C00849810,,ROGERS FOR SENATE,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'ROGERS FOR SENATE', indicating a candidate committee.",gpt-4.1
,C00849828,,TARA FOR WISCONSIN,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'TARA FOR WISCONSIN', indicating a candidate committee.",gpt-4.1
,C00849836,,MISSY FOR CONGRESS,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'MISSY FOR CONGRESS', indicating a candidate committee.",gpt-4.1
,C00849844,,ELECTGABEEVANS.COM,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'ELECTGABEEVANS.COM', indicating a candidate committee.",gpt-4.1
,C00849851,,MIKE O'BRIEN FOR PA,Candidate Committees,Candidate,,llm_inferred,high,"The committee name is 'MIKE O'BRIEN FOR PA', indicating a candidate committee.",gpt-4.1
